@relation '238454L1_2-weka.filters.unsupervised.attribute.MergeManyValues-C1-Ldobry-R1,2-weka.filters.unsupervised.attribute.MergeManyValues-C1-Lzly-R1,2,3-weka.filters.unsupervised.attribute.Remove-Rlast-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R2-precision6'

@attribute 'kwota wnioskowana' numeric
@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute plec {K,M}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres w jakim pob. doch.' numeric
@attribute 'okres w jakim bedzie pobierac dochod' numeric
@attribute 'status pozyczki' {dobry,zly}

@data
500,'\'(-inf-30.4]\'',K,12,1447,0,16,23,dobry
500,'\'(55.2-67.6]\'',M,17,485,0,138,48,dobry
700,'\'(55.2-67.6]\'',M,11,1510,0,160,48,dobry
600,'\'(42.8-55.2]\'',M,11,1320,0,337,48,dobry
310.5,'\'(55.2-67.6]\'',K,13,1668,0,86,48,dobry
250,'\'(55.2-67.6]\'',K,13,810,0,28,48,dobry
200,'\'(42.8-55.2]\'',M,12,988,0,4,12,dobry
200,'\'(67.6-inf)\'',M,13,1426,0,72,48,dobry
400,'\'(55.2-67.6]\'',K,13,984,0,5,48,dobry
800,'\'(55.2-67.6]\'',M,11,1000,0,58,48,dobry
1000,'\'(67.6-inf)\'',K,13,2421.55,0,240,48,dobry
953.23,'\'(30.4-42.8]\'',K,11,1900,0,174,48,dobry
500,'\'(55.2-67.6]\'',K,13,1212,0,48,48,dobry
1000,'\'(-inf-30.4]\'',M,12,1800,0,5,7,dobry
400,'\'(-inf-30.4]\'',M,12,900,0,13,20,dobry
300,'\'(30.4-42.8]\'',M,11,1800,0,160,48,dobry
600,'\'(42.8-55.2]\'',K,11,2800,0,313,48,dobry
600,'\'(42.8-55.2]\'',K,12,830.46,0,40,48,dobry
700,'\'(55.2-67.6]\'',K,17,684,0,184,48,dobry
850,'\'(-inf-30.4]\'',M,12,1800,0,2,2,dobry
200,'\'(55.2-67.6]\'',M,13,1162,0,216,48,dobry
200,'\'(42.8-55.2]\'',M,11,1400,0,9,48,dobry
800,'\'(42.8-55.2]\'',K,11,5800,0,49,48,dobry
300,'\'(55.2-67.6]\'',M,11,3000,0,207,48,dobry
500,'\'(55.2-67.6]\'',K,13,930,0,125,48,dobry
200,'\'(55.2-67.6]\'',M,16,908.37,0,124,48,zly
650,'\'(-inf-30.4]\'',K,11,1477,0,117,48,zly
900,'\'(30.4-42.8]\'',K,11,2050,0,23,48,dobry
526.61,'\'(-inf-30.4]\'',M,12,1200,0,4,17,zly
400,'\'(42.8-55.2]\'',K,11,1050,0,13,48,dobry
400,'\'(55.2-67.6]\'',K,13,1065,0,16,48,dobry
200,'\'(42.8-55.2]\'',K,12,2000,0,29,48,dobry
449.7,'\'(-inf-30.4]\'',M,99,980,0,6,7,dobry
200,'\'(55.2-67.6]\'',M,11,2180,0,285,48,zly
500,'\'(30.4-42.8]\'',M,11,1048.65,0,148,48,zly
400,'\'(42.8-55.2]\'',K,11,2800,0,4,48,dobry
600,'\'(30.4-42.8]\'',K,11,2478,0,152,48,dobry
700,'\'(30.4-42.8]\'',M,12,2500,0,28,48,zly
300,'\'(55.2-67.6]\'',K,13,997,0,74,48,dobry
500,'\'(55.2-67.6]\'',K,13,1362,0,51,48,dobry
600,'\'(55.2-67.6]\'',K,12,1680,0,65,48,dobry
200,'\'(55.2-67.6]\'',K,13,665.92,0,120,48,dobry
500,'\'(55.2-67.6]\'',K,13,958.25,0,86,48,dobry
400,'\'(55.2-67.6]\'',K,13,1015,0,104,48,dobry
200,'\'(-inf-30.4]\'',M,17,985,0,8,11,dobry
300,'\'(42.8-55.2]\'',K,98,980,0,4,48,dobry
1000,'\'(55.2-67.6]\'',K,13,930,0,88,48,dobry
500,'\'(42.8-55.2]\'',M,11,3200,0,184,48,dobry
700,'\'(30.4-42.8]\'',M,11,2258,0,70,48,dobry
500,'\'(30.4-42.8]\'',K,12,1200,0,3,14,dobry
1000,'\'(55.2-67.6]\'',M,11,2250.05,0,171,48,dobry
500,'\'(67.6-inf)\'',M,13,1700,0,9,48,dobry
300,'\'(42.8-55.2]\'',M,13,3900,0,25,48,dobry
500,'\'(30.4-42.8]\'',M,11,2200,0,80,48,dobry
200,'\'(42.8-55.2]\'',M,11,1360,0,114,48,dobry
500,'\'(42.8-55.2]\'',M,12,2500,0,3,4,dobry
500,'\'(30.4-42.8]\'',K,12,1260,0,14,23,dobry
200,'\'(30.4-42.8]\'',K,99,2800,0,5,6,dobry
1000,'\'(42.8-55.2]\'',M,11,4000,0,5,48,dobry
600,'\'(-inf-30.4]\'',M,12,1800,0,12,12,dobry
300,'\'(30.4-42.8]\'',M,12,1000,0,1,3,dobry
600,'\'(-inf-30.4]\'',M,11,1700,0,34,48,dobry
200,'\'(-inf-30.4]\'',M,12,1000,0,7,24,dobry
749,'\'(67.6-inf)\'',K,13,1377.23,0,252,48,dobry
200,'\'(67.6-inf)\'',K,13,1026,0,242,48,dobry
200,'\'(-inf-30.4]\'',M,12,1038,0,6,21,zly
700,'\'(67.6-inf)\'',M,13,2802,0,242,48,dobry
200,'\'(67.6-inf)\'',M,13,1263,0,244,48,dobry
300,'\'(42.8-55.2]\'',K,11,1071,0,28,48,zly
1000,'\'(-inf-30.4]\'',K,11,2100,0,17,48,dobry
300,'\'(55.2-67.6]\'',K,13,714,0,217,48,dobry
300,'\'(55.2-67.6]\'',K,13,1240,0,65,48,dobry
300,'\'(67.6-inf)\'',K,13,865,0,122,48,dobry
200,'\'(55.2-67.6]\'',K,16,684.64,0,336,48,dobry
400,'\'(30.4-42.8]\'',M,13,1750,0,24,48,dobry
700,'\'(42.8-55.2]\'',M,16,588,0,417,48,dobry
600,'\'(67.6-inf)\'',K,13,2291,0,66,48,dobry
500,'\'(42.8-55.2]\'',K,16,1045.6,0,7,48,dobry
350,'\'(55.2-67.6]\'',M,13,1253.51,0,58,48,dobry
281.29,'\'(42.8-55.2]\'',K,11,1700,0,200,48,dobry
200,'\'(42.8-55.2]\'',K,11,770,0,98,48,dobry
336.52,'\'(-inf-30.4]\'',M,12,1300,0,4,25,dobry
400,'\'(42.8-55.2]\'',K,12,1341,0,12,12,zly
200,'\'(55.2-67.6]\'',K,13,1154.55,0,16,48,zly
300,'\'(67.6-inf)\'',M,13,870.5,0,49,48,dobry
500,'\'(42.8-55.2]\'',M,13,2800,0,145,48,dobry
800,'\'(30.4-42.8]\'',M,12,3000,0,2,10,dobry
300,'\'(42.8-55.2]\'',M,12,1000,0,38,48,dobry
200,'\'(67.6-inf)\'',K,13,736,0,62,48,zly
400,'\'(30.4-42.8]\'',K,11,2568.87,0,68,48,zly
800,'\'(42.8-55.2]\'',K,13,3440,0,46,48,dobry
300,'\'(55.2-67.6]\'',K,13,725,0,28,48,zly
300,'\'(67.6-inf)\'',K,13,1317,0,252,48,zly
637.02,'\'(30.4-42.8]\'',M,11,2050,0,113,48,dobry
200,'\'(67.6-inf)\'',K,13,1442.43,0,136,48,dobry
400,'\'(42.8-55.2]\'',K,12,1700,0,50,48,dobry
700,'\'(55.2-67.6]\'',M,13,3040,0,196,48,dobry
500,'\'(67.6-inf)\'',K,13,1291.18,0,74,48,dobry
700,'\'(55.2-67.6]\'',K,13,1872,0,30,48,dobry
300,'\'(55.2-67.6]\'',K,13,760,0,72,48,zly
400,'\'(55.2-67.6]\'',K,13,919,0,136,48,dobry
200,'\'(55.2-67.6]\'',K,13,845,0,0,48,zly
200,'\'(-inf-30.4]\'',K,17,1200,0,160,48,dobry
200,'\'(42.8-55.2]\'',K,11,1400,0,20,48,dobry
500,'\'(42.8-55.2]\'',K,11,1800,0,48,48,dobry
500,'\'(42.8-55.2]\'',K,16,1657,0,14,48,zly
800,'\'(30.4-42.8]\'',M,11,1888.14,0,206,48,zly
300,'\'(-inf-30.4]\'',M,11,1400,0,19,48,dobry
250,'\'(55.2-67.6]\'',K,13,634.64,0,7,48,dobry
700,'\'(30.4-42.8]\'',K,11,1900,0,202,48,dobry
200,'\'(55.2-67.6]\'',K,13,670,0,61,48,dobry
300,'\'(67.6-inf)\'',K,13,729.03,0,252,48,dobry
200,'\'(55.2-67.6]\'',K,13,785,0,134,48,zly
1000,'\'(42.8-55.2]\'',M,13,2600,0,111,48,dobry
200,'\'(55.2-67.6]\'',K,13,910,0,64,48,dobry
743.23,'\'(30.4-42.8]\'',K,98,4000,0,13,48,dobry
500,'\'(55.2-67.6]\'',K,13,1280,0,12,48,dobry
300,'\'(42.8-55.2]\'',K,17,990,0,67,48,dobry
400,'\'(42.8-55.2]\'',K,11,1400,0,156,48,dobry
400,'\'(42.8-55.2]\'',K,12,1040,0,12,19,dobry
300,'\'(42.8-55.2]\'',K,12,1776.38,0,117,48,zly
600,'\'(30.4-42.8]\'',M,12,1463.56,0,0,12,dobry
800,'\'(-inf-30.4]\'',M,12,1800,0,7,14,zly
600,'\'(42.8-55.2]\'',M,12,2673.17,0,107,48,dobry
300,'\'(55.2-67.6]\'',K,13,1125,0,120,48,dobry
200,'\'(55.2-67.6]\'',M,13,866.16,0,34,48,zly
500,'\'(55.2-67.6]\'',K,13,1400,0,49,48,dobry
200,'\'(42.8-55.2]\'',M,12,1000,0,7,39,dobry
500,'\'(42.8-55.2]\'',M,12,1963.88,0,1,5,dobry
500,'\'(55.2-67.6]\'',M,13,1530,0,30,48,dobry
600,'\'(42.8-55.2]\'',M,11,2080,0,313,48,dobry
300,'\'(67.6-inf)\'',K,13,1017,0,156,48,dobry
300,'\'(42.8-55.2]\'',K,12,977.42,0,1,1,zly
500,'\'(30.4-42.8]\'',M,98,3178,0,196,48,dobry
300,'\'(42.8-55.2]\'',M,12,600,0,4,27,dobry
300,'\'(55.2-67.6]\'',K,13,1244.77,0,34,48,dobry
400,'\'(-inf-30.4]\'',M,12,1100,0,28,48,dobry
400,'\'(42.8-55.2]\'',K,12,1000,0,26,48,zly
500,'\'(42.8-55.2]\'',K,16,1788,0,58,48,dobry
500,'\'(42.8-55.2]\'',M,13,1900,0,145,48,dobry
426.61,'\'(30.4-42.8]\'',K,11,2709.34,0,176,48,dobry
400,'\'(55.2-67.6]\'',M,13,1420.41,0,19,48,dobry
300,'\'(-inf-30.4]\'',K,99,1100,0,10,11,zly
400,'\'(30.4-42.8]\'',K,12,855,0,39,48,dobry
1000,'\'(30.4-42.8]\'',M,98,7600,0,16,48,zly
300,'\'(42.8-55.2]\'',K,12,1000,0,27,29,dobry
1000,'\'(-inf-30.4]\'',M,11,2100,0,46,48,zly
300,'\'(42.8-55.2]\'',M,12,1000,0,4,5,dobry
300,'\'(30.4-42.8]\'',M,12,1000,0,27,48,zly
300,'\'(67.6-inf)\'',K,13,1200,0,114,48,dobry
200,'\'(-inf-30.4]\'',K,17,668.05,0,2,16,zly
426.61,'\'(42.8-55.2]\'',K,11,2470,0,349,48,dobry
300,'\'(55.2-67.6]\'',M,12,1000,0,7,10,dobry
500,'\'(55.2-67.6]\'',K,13,1525.46,0,31,48,dobry
200,'\'(42.8-55.2]\'',M,17,798.8,0,144,48,dobry
400,'\'(-inf-30.4]\'',M,12,1300,0,22,41,dobry
400,'\'(55.2-67.6]\'',K,13,1500,0,124,48,zly
300,'\'(-inf-30.4]\'',M,12,1416,0,3,24,dobry
600,'\'(55.2-67.6]\'',K,13,1050,0,134,48,dobry
800,'\'(-inf-30.4]\'',M,12,2700,0,59,48,dobry
300,'\'(-inf-30.4]\'',M,12,2600,0,2,2,zly
600,'\'(55.2-67.6]\'',M,13,1500,0,18,48,dobry
500,'\'(55.2-67.6]\'',K,13,2010,0,75,48,zly
300,'\'(67.6-inf)\'',M,13,1180,0,135,48,dobry
526.11,'\'(-inf-30.4]\'',K,99,468,0,6,10,dobry
300,'\'(-inf-30.4]\'',M,98,470,0,2,48,zly
800,'\'(67.6-inf)\'',M,13,2712,0,338,48,dobry
449.61,'\'(42.8-55.2]\'',M,11,1552.16,0,93,48,dobry
400,'\'(30.4-42.8]\'',K,11,1998.9,0,226,48,zly
400,'\'(42.8-55.2]\'',K,12,1032,0,33,40,dobry
254.23,'\'(30.4-42.8]\'',M,12,1030,0,14,14,zly
300,'\'(55.2-67.6]\'',M,16,726,0,228,48,dobry
335.97,'\'(42.8-55.2]\'',K,11,1721.7,0,115,48,dobry
400,'\'(42.8-55.2]\'',K,12,1009.34,0,24,48,dobry
250,'\'(67.6-inf)\'',M,13,2000,0,40,48,dobry
500,'\'(30.4-42.8]\'',M,12,1030,0,0,23,dobry
500,'\'(42.8-55.2]\'',K,16,1362,0,24,48,dobry
200,'\'(-inf-30.4]\'',K,12,980,0,5,5,dobry
1000,'\'(55.2-67.6]\'',K,13,580,0,114,48,dobry
200,'\'(67.6-inf)\'',K,13,930,0,234,48,dobry
300,'\'(30.4-42.8]\'',M,12,1037.34,0,32,48,zly
500,'\'(67.6-inf)\'',M,16,1100,0,132,48,dobry
300,'\'(55.2-67.6]\'',M,13,1611,0,136,48,dobry
1000,'\'(55.2-67.6]\'',M,11,2200,0,48,48,zly
200,'\'(55.2-67.6]\'',K,16,892,0,196,48,dobry
1100,'\'(30.4-42.8]\'',M,11,2875.71,0,273,48,dobry
400,'\'(30.4-42.8]\'',M,11,3500,0,23,48,dobry
300,'\'(-inf-30.4]\'',M,11,1000,0,52,48,dobry
250,'\'(55.2-67.6]\'',M,99,685,0,0,2,dobry
400,'\'(55.2-67.6]\'',M,12,1100,0,17,35,dobry
300,'\'(55.2-67.6]\'',K,13,1026,0,50,48,dobry
200,'\'(55.2-67.6]\'',K,13,1216,0,136,48,dobry
300,'\'(55.2-67.6]\'',K,13,975,0,22,48,dobry
200,'\'(42.8-55.2]\'',K,16,685,0,36,48,dobry
400,'\'(42.8-55.2]\'',K,11,1700,0,84,48,dobry
300,'\'(42.8-55.2]\'',M,12,1030,0,3,24,dobry
500,'\'(42.8-55.2]\'',M,11,2011,0,206,48,dobry
300,'\'(30.4-42.8]\'',M,11,2100,0,59,48,dobry
310,'\'(-inf-30.4]\'',M,12,952.89,0,17,26,dobry
380,'\'(67.6-inf)\'',K,13,1721,0,192,48,dobry
300,'\'(55.2-67.6]\'',M,13,819,0,52,48,dobry
350,'\'(67.6-inf)\'',M,13,1162.41,0,99,48,dobry
1000,'\'(30.4-42.8]\'',K,11,1443,0,28,48,dobry
1000,'\'(67.6-inf)\'',K,13,2100,0,50,48,dobry
200,'\'(55.2-67.6]\'',K,13,1123.4,0,28,48,zly
1000,'\'(55.2-67.6]\'',M,16,1770,0,84,48,dobry
200,'\'(42.8-55.2]\'',K,11,932.34,0,390,48,dobry
500,'\'(30.4-42.8]\'',K,11,624.34,0,141,48,zly
200,'\'(55.2-67.6]\'',K,13,930,0,72,48,dobry
500,'\'(55.2-67.6]\'',K,13,840,0,108,48,dobry
300,'\'(55.2-67.6]\'',K,13,1085,0,161,48,dobry
200,'\'(55.2-67.6]\'',M,13,1742.76,0,36,48,dobry
500,'\'(30.4-42.8]\'',K,17,498,0,6,7,zly
450,'\'(55.2-67.6]\'',K,13,1400,0,241,48,dobry
600,'\'(67.6-inf)\'',M,13,2609,0,186,48,dobry
500,'\'(-inf-30.4]\'',M,11,1459,0,4,48,dobry
300,'\'(30.4-42.8]\'',K,11,1037.34,0,57,48,dobry
1000,'\'(-inf-30.4]\'',M,11,3050,0,24,48,zly
500,'\'(55.2-67.6]\'',M,11,2947,0,48,48,dobry
400,'\'(42.8-55.2]\'',K,98,911,0,93,48,dobry
300,'\'(42.8-55.2]\'',K,11,1077,0,178,48,dobry
400,'\'(42.8-55.2]\'',K,12,1100,0,2,2,dobry
1000,'\'(55.2-67.6]\'',K,13,1820,0,64,48,dobry
300,'\'(55.2-67.6]\'',K,13,936,0,26,48,dobry
300,'\'(42.8-55.2]\'',K,11,992.84,0,116,48,dobry
200,'\'(55.2-67.6]\'',M,13,12220,0,66,48,dobry
400,'\'(42.8-55.2]\'',K,12,972.34,0,47,48,zly
300,'\'(67.6-inf)\'',K,13,1134.96,0,156,48,dobry
600,'\'(55.2-67.6]\'',K,13,2066,0,124,48,dobry
200,'\'(55.2-67.6]\'',K,13,714,0,217,48,dobry
300,'\'(55.2-67.6]\'',K,13,1083.23,0,92,48,dobry
500,'\'(42.8-55.2]\'',M,11,6125.99,0,377,48,zly
200,'\'(67.6-inf)\'',K,13,1800,0,112,48,dobry
200,'\'(42.8-55.2]\'',K,13,423,0,98,48,zly
600,'\'(42.8-55.2]\'',K,98,2200,0,20,48,dobry
300,'\'(67.6-inf)\'',M,13,960,0,135,48,dobry
200,'\'(55.2-67.6]\'',K,13,1032.85,0,161,48,zly
500,'\'(55.2-67.6]\'',M,11,2100,0,182,48,dobry
300,'\'(-inf-30.4]\'',M,12,1040,0,2,9,zly
500,'\'(67.6-inf)\'',M,13,1921,0,84,48,dobry
400,'\'(-inf-30.4]\'',M,11,2500,0,28,48,zly
200,'\'(55.2-67.6]\'',K,16,1340,0,156,48,dobry
200,'\'(55.2-67.6]\'',K,13,1635,0,115,48,dobry
200,'\'(42.8-55.2]\'',K,99,1100,0,47,48,dobry
500,'\'(42.8-55.2]\'',K,12,1500,0,21,32,dobry
