@relation '238454L1_2-weka.filters.unsupervised.instance.SubsetByExpression-E((ATT1 is \'splacona_cz\' or ATT1 is \'splacona\' or ATT1 is \'windykacja_sp\' or ATT1 is \'windykacja\') and ATT2<=900)-weka.filters.unsupervised.attribute.Remove-R1'

@attribute 'kwota wnioskowana' numeric
@attribute wiek numeric
@attribute plec {K,M}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres w jakim pob. doch.' numeric
@attribute 'okres w jakim bedzie pobierac dochod' numeric
@attribute 'opoznienie splaty' numeric

@data
500,28,K,12,1447,0,16,23,3
500,58,M,17,485,0,138,48,0
700,58,M,11,1510,0,160,48,0
600,52,M,11,1320,0,337,48,0
310.5,62,K,13,1668,0,86,48,5
250,60,K,13,810,0,28,48,3
200,54,M,12,988,0,4,12,0
200,70,M,13,1426,0,72,48,0
400,60,K,13,984,0,5,48,0
800,59,M,11,1000,0,58,48,0
500,60,K,13,1212,0,48,48,0
400,28,M,12,900,0,13,20,5
300,32,M,11,1800,0,160,48,0
600,48,K,11,2800,0,313,48,0
600,47,K,12,830.46,0,40,48,0
700,57,K,17,684,0,184,48,0
850,29,M,12,1800,0,2,2,1
200,62,M,13,1162,0,216,48,0
200,49,M,11,1400,0,9,48,1
800,47,K,11,5800,0,49,48,0
300,60,M,11,3000,0,207,48,3
500,65,K,13,930,0,125,48,2
900,32,K,11,2050,0,23,48,2
526.61,20,M,12,1200,0,4,17,374
400,52,K,11,1050,0,13,48,0
400,61,K,13,1065,0,16,48,0
200,49,K,12,2000,0,29,48,2
449.7,22,M,99,980,0,6,7,3
400,55,K,11,2800,0,4,48,0
600,36,K,11,2478,0,152,48,9
300,61,K,13,997,0,74,48,0
500,60,K,13,1362,0,51,48,2
600,56,K,12,1680,0,65,48,0
200,65,K,13,665.92,0,120,48,1
500,63,K,13,958.25,0,86,48,2
400,64,K,13,1015,0,104,48,0
200,20,M,17,985,0,8,11,1
300,55,K,98,980,0,4,48,0
500,52,M,11,3200,0,184,48,0
700,41,M,11,2258,0,70,48,2
500,34,K,12,1200,0,3,14,0
500,71,M,13,1700,0,9,48,0
300,48,M,13,3900,0,25,48,1
500,34,M,11,2200,0,80,48,7
200,46,M,11,1360,0,114,48,0
500,46,M,12,2500,0,3,4,0
500,31,K,12,1260,0,14,23,0
200,37,K,99,2800,0,5,6,1
600,22,M,12,1800,0,12,12,51
300,40,M,12,1000,0,1,3,2
600,26,M,11,1700,0,34,48,182
200,24,M,12,1000,0,7,24,0
749,75,K,13,1377.23,0,252,48,0
200,73,K,13,1026,0,242,48,0
700,71,M,13,2802,0,242,48,2
200,78,M,13,1263,0,244,48,212
300,61,K,13,714,0,217,48,0
300,57,K,13,1240,0,65,48,0
300,70,K,13,865,0,122,48,0
200,59,K,16,684.64,0,336,48,0
400,39,M,13,1750,0,24,48,336
700,55,M,16,588,0,417,48,0
600,69,K,13,2291,0,66,48,0
500,53,K,16,1045.6,0,7,48,0
350,64,M,13,1253.51,0,58,48,179
281.29,52,K,11,1700,0,200,48,0
200,47,K,11,770,0,98,48,0
336.52,25,M,12,1300,0,4,25,22
400,48,K,12,1341,0,12,12,477
300,69,M,13,870.5,0,49,48,354
500,54,M,13,2800,0,145,48,40
